source_order,group,date_bst,time_bst,date_china,time_china,team_a,team_b,broadcaster_uk
1,A,2026-06-11,20:00,2026-06-12,03:00,Mexico,South Africa,ITV
2,A,2026-06-12,03:00,2026-06-12,10:00,South Korea,Czechia,ITV
3,B,2026-06-12,20:00,2026-06-13,03:00,Canada,Bosnia and Herzegovina,BBC
4,D,2026-06-13,02:00,2026-06-13,09:00,United States,Paraguay,BBC
5,B,2026-06-13,20:00,2026-06-14,03:00,Qatar,Switzerland,ITV
6,C,2026-06-13,23:00,2026-06-14,06:00,Brazil,Morocco,BBC
7,C,2026-06-14,02:00,2026-06-14,09:00,Haiti,Scotland,BBC
8,D,2026-06-14,05:00,2026-06-14,12:00,Australia,Turkiye,ITV
9,E,2026-06-14,18:00,2026-06-15,01:00,Germany,Curacao,ITV
10,F,2026-06-14,21:00,2026-06-15,04:00,Netherlands,Japan,ITV
11,E,2026-06-15,00:00,2026-06-15,07:00,Ivory Coast,Ecuador,BBC
12,F,2026-06-15,03:00,2026-06-15,10:00,Sweden,Tunisia,ITV
13,H,2026-06-15,17:00,2026-06-16,00:00,Spain,Cape Verde,ITV
14,G,2026-06-15,20:00,2026-06-16,03:00,Belgium,Egypt,BBC
15,H,2026-06-15,23:00,2026-06-16,06:00,Saudi Arabia,Uruguay,ITV
16,G,2026-06-16,02:00,2026-06-16,09:00,Iran,New Zealand,BBC
17,I,2026-06-16,20:00,2026-06-17,03:00,France,Senegal,BBC
18,I,2026-06-16,23:00,2026-06-17,06:00,Iraq,Norway,BBC
19,J,2026-06-17,02:00,2026-06-17,09:00,Argentina,Algeria,ITV
20,J,2026-06-17,05:00,2026-06-17,12:00,Austria,Jordan,BBC
21,K,2026-06-17,18:00,2026-06-18,01:00,Portugal,DR Congo,BBC
22,L,2026-06-17,21:00,2026-06-18,04:00,England,Croatia,ITV
23,L,2026-06-18,00:00,2026-06-18,07:00,Ghana,Panama,ITV
24,K,2026-06-18,03:00,2026-06-18,10:00,Uzbekistan,Colombia,BBC
25,A,2026-06-18,17:00,2026-06-19,00:00,Czechia,South Africa,BBC
26,B,2026-06-18,20:00,2026-06-19,03:00,Switzerland,Bosnia and Herzegovina,ITV
27,B,2026-06-18,23:00,2026-06-19,06:00,Canada,Qatar,ITV
28,A,2026-06-19,02:00,2026-06-19,09:00,Mexico,South Korea,BBC
29,D,2026-06-19,20:00,2026-06-20,03:00,United States,Australia,BBC
30,C,2026-06-19,23:00,2026-06-20,06:00,Scotland,Morocco,ITV
31,C,2026-06-20,01:30,2026-06-20,08:30,Brazil,Haiti,ITV
32,D,2026-06-20,04:00,2026-06-20,11:00,Turkiye,Paraguay,ITV
33,F,2026-06-20,18:00,2026-06-21,01:00,Netherlands,Sweden,BBC
34,E,2026-06-20,21:00,2026-06-21,04:00,Germany,Ivory Coast,ITV
35,E,2026-06-21,01:00,2026-06-21,08:00,Ecuador,Curacao,BBC
36,F,2026-06-21,05:00,2026-06-21,12:00,Tunisia,Japan,BBC
37,H,2026-06-21,17:00,2026-06-22,00:00,Spain,Saudi Arabia,BBC
38,G,2026-06-21,20:00,2026-06-22,03:00,Belgium,Iran,ITV
39,H,2026-06-21,23:00,2026-06-22,06:00,Uruguay,Cape Verde,BBC
40,G,2026-06-22,02:00,2026-06-22,09:00,New Zealand,Egypt,ITV
41,J,2026-06-22,18:00,2026-06-23,01:00,Argentina,Austria,BBC
42,I,2026-06-22,22:00,2026-06-23,05:00,France,Iraq,BBC
43,I,2026-06-23,01:00,2026-06-23,08:00,Norway,Senegal,ITV
44,J,2026-06-23,04:00,2026-06-23,11:00,Jordan,Algeria,ITV
45,K,2026-06-23,18:00,2026-06-24,01:00,Portugal,Uzbekistan,ITV
46,L,2026-06-23,21:00,2026-06-24,04:00,England,Ghana,BBC
47,L,2026-06-24,00:00,2026-06-24,07:00,Panama,Croatia,BBC
48,K,2026-06-24,03:00,2026-06-24,10:00,Colombia,DR Congo,BBC
49,B,2026-06-24,20:00,2026-06-25,03:00,Switzerland,Canada,ITV
50,B,2026-06-24,20:00,2026-06-25,03:00,Bosnia and Herzegovina,Qatar,ITV
51,C,2026-06-24,23:00,2026-06-25,06:00,Morocco,Haiti,BBC
52,C,2026-06-24,23:00,2026-06-25,06:00,Scotland,Brazil,BBC
53,A,2026-06-25,02:00,2026-06-25,09:00,South Africa,South Korea,BBC
54,A,2026-06-25,02:00,2026-06-25,09:00,Czechia,Mexico,BBC
55,E,2026-06-25,21:00,2026-06-26,04:00,Curacao,Ivory Coast,BBC
56,E,2026-06-25,21:00,2026-06-26,04:00,Ecuador,Germany,BBC
57,F,2026-06-26,00:00,2026-06-26,07:00,Japan,Sweden,BBC
58,F,2026-06-26,00:00,2026-06-26,07:00,Tunisia,Netherlands,BBC
59,D,2026-06-26,03:00,2026-06-26,10:00,Paraguay,Australia,ITV
60,D,2026-06-26,03:00,2026-06-26,10:00,Turkiye,United States,ITV
61,I,2026-06-26,20:00,2026-06-27,03:00,Norway,France,ITV
62,I,2026-06-26,20:00,2026-06-27,03:00,Senegal,Iraq,ITV
63,H,2026-06-27,01:00,2026-06-27,08:00,Cape Verde,Saudi Arabia,ITV
64,H,2026-06-27,01:00,2026-06-27,08:00,Uruguay,Spain,ITV
65,G,2026-06-27,04:00,2026-06-27,11:00,Egypt,Iran,BBC
66,G,2026-06-27,04:00,2026-06-27,11:00,New Zealand,Belgium,BBC
67,L,2026-06-27,22:00,2026-06-28,05:00,Croatia,Ghana,ITV
68,L,2026-06-27,22:00,2026-06-28,05:00,Panama,England,ITV
69,K,2026-06-28,00:30,2026-06-28,07:30,Colombia,Portugal,BBC
70,K,2026-06-28,00:30,2026-06-28,07:30,DR Congo,Uzbekistan,BBC
71,J,2026-06-28,03:00,2026-06-28,10:00,Algeria,Austria,BBC
72,J,2026-06-28,03:00,2026-06-28,10:00,Jordan,Argentina,BBC
