team,team_code,club_quality_rating,club_quality_tier,big_five_share,domestic_share,top5_club_share,unique_club_share,unique_club_country_share,rating_notes
Spain,ESP,91.15,elite,1.000,0.654,0.692,0.500,0.154,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Germany,GER,90.42,elite,0.962,0.731,0.692,0.500,0.154,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
England,ENG,89.19,elite,0.962,0.808,0.577,0.615,0.154,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
France,FRA,82.15,elite,0.923,0.308,0.500,0.692,0.269,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Switzerland,SUI,76.77,elite,0.923,0.077,0.269,0.923,0.231,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Netherlands,NED,76.23,elite,0.846,0.077,0.423,0.769,0.308,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Belgium,BEL,74.77,elite,0.769,0.115,0.462,0.692,0.308,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Argentina,ARG,74.62,elite,0.769,0.077,0.500,0.692,0.346,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Portugal,POR,72.42,elite,0.654,0.192,0.538,0.654,0.269,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Norway,NOR,71.73,strong,0.731,0.154,0.346,0.846,0.269,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Senegal,SEN,71.69,strong,0.769,0.000,0.346,0.846,0.308,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Austria,AUT,70.23,strong,0.692,0.115,0.385,0.808,0.385,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Croatia,CRO,68.38,strong,0.692,0.077,0.269,0.923,0.308,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Scotland,SCO,67.73,strong,0.577,0.308,0.346,0.846,0.231,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Brazil,BRA,67.00,strong,0.538,0.269,0.423,0.769,0.308,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Czechia,CZE,66.50,strong,0.269,0.654,0.769,0.423,0.231,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Ghana,GHA,66.42,strong,0.654,0.038,0.308,0.885,0.538,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Sweden,SWE,65.81,strong,0.654,0.115,0.192,1.000,0.385,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Morocco,MAR,65.69,strong,0.615,0.077,0.308,0.885,0.462,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Türkiye,TUR,65.35,strong,0.346,0.577,0.577,0.615,0.269,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
USA,USA,64.23,strong,0.538,0.269,0.269,0.923,0.385,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Qatar,QAT,62.73,middle,0.038,0.962,0.808,0.308,0.077,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Saudi Arabia,KSA,62.73,middle,0.038,0.962,0.846,0.346,0.077,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Japan,JPN,62.27,middle,0.500,0.115,0.308,0.885,0.385,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Egypt,EGY,61.65,middle,0.192,0.654,0.654,0.538,0.308,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Algeria,ALG,61.19,middle,0.500,0.115,0.269,0.923,0.500,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Congo DR,COD,60.27,middle,0.500,0.000,0.269,0.923,0.500,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Canada,CAN,59.73,middle,0.423,0.077,0.346,0.846,0.423,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
South Africa,RSA,59.62,middle,0.077,0.731,0.731,0.462,0.269,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Côte D'Ivoire,CIV,58.62,middle,0.462,0.000,0.231,0.962,0.423,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Australia,AUS,57.65,middle,0.346,0.192,0.346,0.846,0.500,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
New Zealand,NZL,57.42,middle,0.269,0.308,0.423,0.769,0.423,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Bosnia And Herzegovina,BIH,57.27,middle,0.423,0.038,0.269,0.923,0.654,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Tunisia,TUN,56.88,middle,0.346,0.231,0.269,0.923,0.462,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Korea Republic,KOR,55.42,outsider,0.269,0.269,0.346,0.846,0.538,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Mexico,MEX,55.35,outsider,0.192,0.462,0.385,0.808,0.423,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Uruguay,URU,55.23,outsider,0.308,0.000,0.346,0.846,0.385,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Colombia,COL,55.19,outsider,0.346,0.038,0.269,0.923,0.500,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
IR Iran,IRN,55.08,outsider,0.000,0.654,0.615,0.538,0.192,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Uzbekistan,UZB,54.27,outsider,0.038,0.577,0.500,0.615,0.192,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Ecuador,ECU,53.73,outsider,0.269,0.077,0.308,0.885,0.423,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Jordan,JOR,53.19,outsider,0.038,0.423,0.577,0.577,0.385,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Haiti,HAI,52.92,outsider,0.308,0.038,0.231,0.962,0.577,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Paraguay,PAR,52.12,outsider,0.192,0.115,0.346,0.846,0.385,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Iraq,IRQ,50.69,outsider,0.077,0.385,0.423,0.769,0.577,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Curaçao,CUW,48.50,outsider,0.115,0.000,0.346,0.846,0.385,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Panama,PAN,44.73,outsider,0.038,0.077,0.308,0.885,0.654,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
Cabo Verde,CPV,42.73,outsider,0.038,0.000,0.192,1.000,0.538,Provisional club-affiliation rating; blend with Elo/FIFA/form before final prediction.
